line,gender
"The pangs of dispriz’d love, the law’s delay,",male
"The insolence of office, and the spurns",male
"That patient merit of the unworthy takes,",male
When he himself might his quietus make,male
"With a bare bodkin? Who would these fardels bear,",male
"To grunt and sweat under a weary life,",male
"But that the dread of something after death,",male
"The undiscover’d country, from whose bourn",male
"No traveller returns, puzzles the will,",male
And makes us rather bear those ills we have,male
Than fly to others that we know not of?,male
"Thus conscience does make cowards of us all,",male
And thus the native hue of resolution,male
"Is sicklied o’er with the pale cast of thought,",male
"And enterprises of great pith and moment,",male
With this regard their currents turn awry,male
"And lose the name of action. Soft you now,",male
"The fair Ophelia! Nymph, in thy orisons",male
Be all my sins remember’d.,male
"Good my lord,",female
How does your honour for this many a day?,female
"I humbly thank you; well, well, well.",male
"My lord, I have remembrances of yours",female
That I have longed long to re-deliver.,female
"I pray you, now receive them.",female
"No, not I.",male
I never gave you aught.,male
"My honour’d lord, you know right well you did,",female
And with them words of so sweet breath compos’d,female
"As made the things more rich; their perfume lost,",female
Take these again; for to the noble mind,female
Rich gifts wax poor when givers prove unkind.,female
"There, my lord.",female
"Ha, ha! Are you honest?",male
My lord?,female
Are you fair?,male
What means your lordship?,female
"That if you be honest and fair, your honesty should admit no discourse",male
to your beauty.,male
"Could beauty, my lord, have better commerce than with honesty?",female
"Ay, truly; for the power of beauty will sooner transform honesty from",male
what it is to a bawd than the force of honesty can translate beauty,male
"into his likeness. This was sometime a paradox, but now the time gives",male
it proof. I did love you once.,male
"Indeed, my lord, you made me believe so.",female
You should not have believed me; for virtue cannot so inoculate our old,male
stock but we shall relish of it. I loved you not.,male
I was the more deceived.,female
Get thee to a nunnery. Why wouldst thou be a breeder of sinners? I am,male
myself indifferent honest; but yet I could accuse me of such things,male
"that it were better my mother had not borne me. I am very proud,",male
"revengeful, ambitious, with more offences at my beck than I have",male
"thoughts to put them in, imagination to give them shape, or time to act",male
them in. What should such fellows as I do crawling between earth and,male
"heaven? We are arrant knaves all, believe none of us. Go thy ways to a",male
nunnery. Where’s your father?,male
"At home, my lord.",female
"Let the doors be shut upon him, that he may play the fool nowhere but",male
in’s own house. Farewell.,male
"O help him, you sweet heavens!",female
"If thou dost marry, I’ll give thee this plague for thy dowry. Be thou",male
"as chaste as ice, as pure as snow, thou shalt not escape calumny. Get",male
"thee to a nunnery, go: farewell. Or if thou wilt needs marry, marry a",male
fool; for wise men know well enough what monsters you make of them. To,male
"a nunnery, go; and quickly too. Farewell.",male
"O heavenly powers, restore him!",female
"I have heard of your paintings too, well enough. God hath given you one",male
"face, and you make yourselves another. You jig, you amble, and you",male
"lisp, and nickname God’s creatures, and make your wantonness your",male
"ignorance. Go to, I’ll no more on’t, it hath made me mad. I say, we",male
"will have no more marriages. Those that are married already, all but",male
"one, shall live; the rest shall keep as they are. To a nunnery, go.",male
,male
"O, what a noble mind is here o’erthrown!",female
"The courtier’s, soldier’s, scholar’s, eye, tongue, sword,",female
"Th’expectancy and rose of the fair state,",female
"The glass of fashion and the mould of form,",female
"Th’observ’d of all observers, quite, quite down!",female
"And I, of ladies most deject and wretched,",female
"That suck’d the honey of his music vows,",female
"Now see that noble and most sovereign reason,",female
"Like sweet bells jangled out of tune and harsh,",female
That unmatch’d form and feature of blown youth,female
"Blasted with ecstasy. O woe is me,",female
"T’have seen what I have seen, see what I see.",female
Enter King and Polonius.,female
"Love? His affections do not that way tend,",male
"Nor what he spake, though it lack’d form a little,",male
Was not like madness. There’s something in his soul,male
"O’er which his melancholy sits on brood,",male
And I do doubt the hatch and the disclose,male
"Will be some danger, which for to prevent,",male
I have in quick determination,male
Thus set it down: he shall with speed to England,male
For the demand of our neglected tribute:,male
"Haply the seas and countries different,",male
"With variable objects, shall expel",male
"This something settled matter in his heart,",male
Whereon his brains still beating puts him thus,male
From fashion of himself. What think you on’t?,male
It shall be so.,male
Madness in great ones must not unwatch’d go.,male
,male
Enter Hamlet and certain Players.,male
"Speak the speech, I pray you, as I pronounced it to you, trippingly on",male
"the tongue. But if you mouth it, as many of your players do, I had as",male
lief the town-crier spoke my lines. Nor do not saw the air too much,male
"with your hand, thus, but use all gently; for in the very torrent,",male
"tempest, and, as I may say, whirlwind of passion, you must acquire and",male
"beget a temperance that may give it smoothness. O, it offends me to the",male
soul to hear a robustious periwig-pated fellow tear a passion to,male
"tatters, to very rags, to split the ears of the groundlings, who, for",male
"the most part, are capable of nothing but inexplicable dumb shows and",male
noise. I would have such a fellow whipped for o’erdoing Termagant. It,male
out-Herods Herod. Pray you avoid it.,male
Be not too tame neither; but let your own discretion be your tutor.,male
"Suit the action to the word, the word to the action, with this special",male
"observance, that you o’erstep not the modesty of nature; for anything",male
"so overdone is from the purpose of playing, whose end, both at the",male
"first and now, was and is, to hold as ’twere the mirror up to nature;",male
"to show virtue her own feature, scorn her own image, and the very age",male
"and body of the time his form and pressure. Now, this overdone, or come",male
"tardy off, though it make the unskilful laugh, cannot but make the",male
judicious grieve; the censure of the which one must in your allowance,male
"o’erweigh a whole theatre of others. O, there be players that I have",male
"seen play—and heard others praise, and that highly—not to speak it",male
"profanely, that, neither having the accent of Christians, nor the gait",male
"of Christian, pagan, nor man, have so strutted and bellowed that I have",male
"thought some of Nature’s journeymen had made men, and not made them",male
"well, they imitated humanity so abominably.",male
O reform it altogether. And let those that play your clowns speak no,male
more than is set down for them. For there be of them that will,male
"themselves laugh, to set on some quantity of barren spectators to laugh",male
"too, though in the meantime some necessary question of the play be then",male
"to be considered. That’s villainous, and shows a most pitiful ambition",male
in the fool that uses it. Go make you ready.,male
,male
"Enter Polonius, Rosencrantz and Guildenstern.",male
"How now, my lord?",male
Will the King hear this piece of work?,male
Bid the players make haste.,male
,male
Will you two help to hasten them?,male
ROSENCRANTZ and GUILDENSTERN.,male
"We will, my lord.",male
,male
"What ho, Horatio!",male
Enter Horatio.,male
"Here, sweet lord, at your service.",male
"Horatio, thou art e’en as just a man",male
As e’er my conversation cop’d withal.,male
O my dear lord.,male
"Nay, do not think I flatter;",male
"For what advancement may I hope from thee,",male
"That no revenue hast, but thy good spirits",male
To feed and clothe thee? Why should the poor be flatter’d?,male
"No, let the candied tongue lick absurd pomp,",male
And crook the pregnant hinges of the knee,male
Where thrift may follow fawning. Dost thou hear?,male
"Since my dear soul was mistress of her choice,",male
"And could of men distinguish, her election",male
Hath seal’d thee for herself. For thou hast been,male
"As one, in suffering all, that suffers nothing,",male
A man that Fortune’s buffets and rewards,male
Hast ta’en with equal thanks. And blessed are those,male
Whose blood and judgement are so well co-mingled,male
That they are not a pipe for Fortune’s finger,male
To sound what stop she please. Give me that man,male
"That is not passion’s slave, and I will wear him",male
"In my heart’s core, ay, in my heart of heart,",male
As I do thee. Something too much of this.,male
There is a play tonight before the King.,male
One scene of it comes near the circumstance,male
"Which I have told thee, of my father’s death.",male
"I prithee, when thou see’st that act a-foot,",male
Even with the very comment of thy soul,male
Observe mine uncle. If his occulted guilt,male
"Do not itself unkennel in one speech,",male
It is a damned ghost that we have seen;,male
And my imaginations are as foul,male
As Vulcan’s stithy. Give him heedful note;,male
For I mine eyes will rivet to his face;,male
And after we will both our judgements join,male
In censure of his seeming.,male
"Well, my lord.",male
"If he steal aught the whilst this play is playing,",male
"And ’scape detecting, I will pay the theft.",male
They are coming to the play. I must be idle.,male
Get you a place.,male
"Danish march. A flourish. Enter King, Queen, Polonius, Ophelia,",male
"Rosencrantz, Guildenstern and others.",male
How fares our cousin Hamlet?,male
"Excellent, i’ faith; of the chameleon’s dish: I eat the air,",male
promise-crammed: you cannot feed capons so.,male
"I have nothing with this answer, Hamlet; these words are not mine.",male
"No, nor mine now.  My lord, you play’d once i’",male
"th’university, you say?",male
What did you enact?,male
It was a brute part of him to kill so capital a calf there. Be the,male
players ready?,male
"No, good mother, here’s metal more attractive.",male
"Lady, shall I lie in your lap?",male
,male
"No, my lord.",female
"I mean, my head upon your lap?",male
"Ay, my lord.",female
Do you think I meant country matters?,male
"I think nothing, my lord.",female
That’s a fair thought to lie between maids’ legs.,male
"What is, my lord?",female
Nothing.,male
"You are merry, my lord.",female
"Who, I?",male
"Ay, my lord.",female
"O God, your only jig-maker! What should a man do but be merry? For look",male
"you how cheerfully my mother looks, and my father died within’s two",male
hours.,male
"Nay, ’tis twice two months, my lord.",female
"So long? Nay then, let the devil wear black, for I’ll have a suit of",male
"sables. O heavens! die two months ago, and not forgotten yet? Then",male
there’s hope a great man’s memory may outlive his life half a year. But,male
"by’r lady, he must build churches then; or else shall he suffer not",male
"thinking on, with the hobby-horse, whose epitaph is ‘For, O, for O, the",male
hobby-horse is forgot!’,male
Trumpets sound. The dumb show enters.,male
_Enter a King and a Queen very lovingly; the Queen embracing him and he,male
"her. She kneels, and makes show of protestation unto him. He takes her",male
"up, and declines his head upon her neck. Lays him down upon a bank of",male
"flowers. She, seeing him asleep, leaves him. Anon comes in a fellow,",male
"takes off his crown, kisses it, pours poison in the King’s ears, and",male
"exits. The Queen returns, finds the King dead, and makes passionate",male
"action. The Poisoner with some three or four Mutes, comes in again,",male
seeming to lament with her. The dead body is carried away. The Poisoner,male
"woos the Queen with gifts. She seems loth and unwilling awhile, but in",male
the end accepts his love._,male
,male
"What means this, my lord?",female
"Marry, this is miching mallecho; it means mischief.",male
Belike this show imports the argument of the play.,female
Enter Prologue.,female
We shall know by this fellow: the players cannot keep counsel; they’ll,male
tell all.,male
Will they tell us what this show meant?,female
"Ay, or any show that you’ll show him. Be not you ashamed to show, he’ll",male
not shame to tell you what it means.,male
"You are naught, you are naught: I’ll mark the play.",female
"Is this a prologue, or the posy of a ring?",male
"’Tis brief, my lord.",female
As woman’s love.,male
Enter a King and a Queen.,male
" Wormwood, wormwood.",male
 If she should break it now.,male
"Madam, how like you this play?",male
"O, but she’ll keep her word.",male
Have you heard the argument? Is there no offence in’t?,male
"No, no, they do but jest, poison in jest; no offence i’ th’ world.",male
What do you call the play?,male
"_The Mousetrap._ Marry, how? Tropically. This play is the image of a",male
"murder done in Vienna. Gonzago is the Duke’s name, his wife Baptista:",male
you shall see anon; ’tis a knavish piece of work: but what o’ that?,male
"Your majesty, and we that have free souls, it touches us not. Let the",male
gall’d jade wince; our withers are unwrung.,male
Enter Lucianus.,male
"This is one Lucianus, nephew to the King.",male
"You are a good chorus, my lord.",female
"I could interpret between you and your love, if I could see the puppets",male
dallying.,male
"You are keen, my lord, you are keen.",female
It would cost you a groaning to take off my edge.,male
"Still better, and worse.",female
"So you mistake your husbands.—Begin, murderer. Pox, leave thy damnable",male
"faces, and begin. Come, the croaking raven doth bellow for revenge.",male
He poisons him i’ th’garden for’s estate. His name’s Gonzago. The story,male
"is extant, and written in very choice Italian. You shall see anon how",male
the murderer gets the love of Gonzago’s wife.,male
The King rises.,female
"What, frighted with false fire?",male
Give me some light. Away.,male
All.,male
"Lights, lights, lights.",male
,male
"Why, let the strucken deer go weep,",male
The hart ungalled play;,male
"For some must watch, while some must sleep,",male
So runs the world away.,male
"Would not this, sir, and a forest of feathers, if the rest of my",male
fortunes turn Turk with me; with two Provincial roses on my razed,male
"shoes, get me a fellowship in a cry of players, sir?",male
Half a share.,male
"A whole one, I.",male
"For thou dost know, O Damon dear,",male
This realm dismantled was,male
"Of Jove himself, and now reigns here",male
"A very, very—pajock.",male
You might have rhymed.,male
"O good Horatio, I’ll take the ghost’s word for a thousand pound. Didst",male
perceive?,male
"Very well, my lord.",male
Upon the talk of the poisoning?,male
I did very well note him.,male
"Ah, ha! Come, some music. Come, the recorders.",male
"For if the king like not the comedy,",male
"Why then, belike he likes it not, perdie.",male
"Come, some music.",male
Enter Rosencrantz and Guildenstern.,male
"Sir, a whole history.",male
"Ay, sir, what of him?",male
"With drink, sir?",male
Your wisdom should show itself more richer to signify this to the,male
"doctor, for me to put him to his purgation would perhaps plunge him",male
into far more choler.,male
"I am tame, sir, pronounce.",male
You are welcome.,male
"Sir, I cannot.",male
"Make you a wholesome answer. My wit’s diseased. But, sir, such answer",male
"as I can make, you shall command; or rather, as you say, my mother.",male
"Therefore no more, but to the matter. My mother, you say,—",male
"O wonderful son, that can so stonish a mother! But is there no sequel",male
at the heels of this mother’s admiration?,male
"We shall obey, were she ten times our mother. Have you any further",male
trade with us?,male
"And so I do still, by these pickers and stealers.",male
"Sir, I lack advancement.",male
"Ay, sir, but while the grass grows—the proverb is something musty.",male
Re-enter the Players with recorders.,male
"O, the recorders. Let me see one.—To withdraw with you, why do you go",male
"about to recover the wind of me, as if you would drive me into a toil?",male
I do not well understand that. Will you play upon this pipe?,male
I pray you.,male
I do beseech you.,male
’Tis as easy as lying: govern these ventages with your finger and,male
"thumb, give it breath with your mouth, and it will discourse most",male
"eloquent music. Look you, these are the stops.",male
"Why, look you now, how unworthy a thing you make of me! You would play",male
upon me; you would seem to know my stops; you would pluck out the heart,male
of my mystery; you would sound me from my lowest note to the top of my,male
"compass; and there is much music, excellent voice, in this little",male
"organ, yet cannot you make it speak. ’Sblood, do you think I am easier",male
"to be played on than a pipe? Call me what instrument you will, though",male
"you can fret me, you cannot play upon me.",male
Enter Polonius.,male
"God bless you, sir.",male
Do you see yonder cloud that’s almost in shape of a camel?,male
Methinks it is like a weasel.,male
Or like a whale.,male
Then will I come to my mother by and by.—They fool me to the top of my,male
bent.—I will come by and by.,male
"By and by is easily said. Leave me, friends.",male
,male
"’Tis now the very witching time of night,",male
"When churchyards yawn, and hell itself breathes out",male
"Contagion to this world. Now could I drink hot blood,",male
And do such bitter business as the day,male
"Would quake to look on. Soft now, to my mother.",male
"O heart, lose not thy nature; let not ever",male
The soul of Nero enter this firm bosom:,male
"Let me be cruel, not unnatural.",male
"I will speak daggers to her, but use none;",male
My tongue and soul in this be hypocrites.,male
"How in my words somever she be shent,",male
"To give them seals never, my soul, consent.",male
,male
"Enter King, Rosencrantz and Guildenstern.",male
"I like him not, nor stands it safe with us",male
"To let his madness range. Therefore prepare you,",male
"I your commission will forthwith dispatch,",male
And he to England shall along with you.,male
The terms of our estate may not endure,male
Hazard so near us as doth hourly grow,male
Out of his lunacies.,male
"Arm you, I pray you, to this speedy voyage;",male
"For we will fetters put upon this fear,",male
Which now goes too free-footed.,male
ROSENCRANTZ and GUILDENSTERN.,male
We will haste us.,male
,male
Enter Polonius.,male
"Thanks, dear my lord.",male
,male
"O, my offence is rank, it smells to heaven;",male
"It hath the primal eldest curse upon’t,—",male
"A brother’s murder! Pray can I not,",male
Though inclination be as sharp as will:,male
"My stronger guilt defeats my strong intent,",male
"And, like a man to double business bound,",male
"I stand in pause where I shall first begin,",male
And both neglect. What if this cursed hand,male
"Were thicker than itself with brother’s blood,",male
Is there not rain enough in the sweet heavens,male
To wash it white as snow? Whereto serves mercy,male
But to confront the visage of offence?,male
"And what’s in prayer but this twofold force,",male
"To be forestalled ere we come to fall,",male
Or pardon’d being down? Then I’ll look up.,male
"My fault is past. But O, what form of prayer",male
Can serve my turn? Forgive me my foul murder!,male
That cannot be; since I am still possess’d,male
"Of those effects for which I did the murder,—",male
"My crown, mine own ambition, and my queen.",male
May one be pardon’d and retain th’offence?,male
In the corrupted currents of this world,male
"Offence’s gilded hand may shove by justice,",male
And oft ’tis seen the wicked prize itself,male
Buys out the law. But ’tis not so above;,male
"There is no shuffling, there the action lies",male
"In his true nature, and we ourselves compell’d",male
"Even to the teeth and forehead of our faults,",male
To give in evidence. What then? What rests?,male
Try what repentance can. What can it not?,male
"Yet what can it, when one cannot repent?",male
O wretched state! O bosom black as death!,male
"O limed soul, that struggling to be free,",male
"Art more engag’d! Help, angels! Make assay:",male
"Bow, stubborn knees; and heart with strings of steel,",male
Be soft as sinews of the new-born babe.,male
All may be well.,male
,male
Enter Hamlet.,male
"Now might I do it pat, now he is praying.",male
And now I’ll do’t. And so he goes to heaven;,male
And so am I reveng’d. That would be scann’d:,male
"A villain kills my father, and for that",male
"I, his sole son, do this same villain send",male
"To heaven. O, this is hire and salary, not revenge.",male
"He took my father grossly, full of bread,",male
"With all his crimes broad blown, as flush as May;",male
"And how his audit stands, who knows save heaven?",male
"But in our circumstance and course of thought,",male
"’Tis heavy with him. And am I then reveng’d,",male
"To take him in the purging of his soul,",male
When he is fit and season’d for his passage? No.,male
"Up, sword, and know thou a more horrid hent:",male
"When he is drunk asleep; or in his rage,",male
"Or in th’incestuous pleasure of his bed,",male
"At gaming, swearing; or about some act",male
"That has no relish of salvation in’t,",male
"Then trip him, that his heels may kick at heaven,",male
And that his soul may be as damn’d and black,male
"As hell, whereto it goes. My mother stays.",male
This physic but prolongs thy sickly days.,male
,male
The King rises and advances.,male
"My words fly up, my thoughts remain below.",male
Words without thoughts never to heaven go.,male
,male
Enter Queen and Polonius.,male
" Mother, mother, mother.",male
"Now, mother, what’s the matter?",male
"Mother, you have my father much offended.",male
"Go, go, you question with a wicked tongue.",male
What’s the matter now?,male
"No, by the rood, not so.",male
"You are the Queen, your husband’s brother’s wife,",male
"And, would it were not so. You are my mother.",male
"Come, come, and sit you down, you shall not budge.",male
You go not till I set you up a glass,male
Where you may see the inmost part of you.,male
How now? A rat? ,male
"Dead for a ducat, dead!",male
,male
"Nay, I know not. Is it the King?",male
,male
"A bloody deed. Almost as bad, good mother,",male
As kill a king and marry with his brother.,male
"Ay, lady, ’twas my word.—",male
" Thou wretched, rash, intruding fool, farewell!",male
"I took thee for thy better. Take thy fortune,",male
Thou find’st to be too busy is some danger.—,male
"Leave wringing of your hands. Peace, sit you down,",male
"And let me wring your heart, for so I shall,",male
If it be made of penetrable stuff;,male
"If damned custom have not braz’d it so,",male
That it is proof and bulwark against sense.,male
Such an act,male
"That blurs the grace and blush of modesty,",male
"Calls virtue hypocrite, takes off the rose",male
"From the fair forehead of an innocent love,",male
And sets a blister there. Makes marriage vows,male
As false as dicers’ oaths. O such a deed,male
As from the body of contraction plucks,male
"The very soul, and sweet religion makes",male
"A rhapsody of words. Heaven’s face doth glow,",male
"Yea this solidity and compound mass,",male
"With tristful visage, as against the doom,",male
Is thought-sick at the act.,male
"Look here upon this picture, and on this,",male
The counterfeit presentment of two brothers.,male
"See what a grace was seated on this brow,",male
"Hyperion’s curls, the front of Jove himself,",male
"An eye like Mars, to threaten and command,",male
A station like the herald Mercury,male
New lighted on a heaven-kissing hill:,male
"A combination and a form indeed,",male
"Where every god did seem to set his seal,",male
To give the world assurance of a man.,male
This was your husband. Look you now what follows.,male
"Here is your husband, like a mildew’d ear",male
Blasting his wholesome brother. Have you eyes?,male
"Could you on this fair mountain leave to feed,",male
And batten on this moor? Ha! have you eyes?,male
You cannot call it love; for at your age,male
"The hey-day in the blood is tame, it’s humble,",male
And waits upon the judgement: and what judgement,male
"Would step from this to this? Sense sure you have,",male
Else could you not have motion; but sure that sense,male
"Is apoplex’d, for madness would not err",male
Nor sense to ecstacy was ne’er so thrall’d,male
But it reserv’d some quantity of choice,male
To serve in such a difference. What devil was’t,male
That thus hath cozen’d you at hoodman-blind?,male
"Eyes without feeling, feeling without sight,",male
"Ears without hands or eyes, smelling sans all,",male
Or but a sickly part of one true sense,male
Could not so mope. O shame! where is thy blush?,male
"Rebellious hell,",male
"If thou canst mutine in a matron’s bones,",male
"To flaming youth let virtue be as wax,",male
And melt in her own fire. Proclaim no shame,male
"When the compulsive ardour gives the charge,",male
"Since frost itself as actively doth burn,",male
And reason panders will.,male
"Nay, but to live",male
"In the rank sweat of an enseamed bed,",male
"Stew’d in corruption, honeying and making love",male
Over the nasty sty.,male
A murderer and a villain;,male
A slave that is not twentieth part the tithe,male
"Of your precedent lord. A vice of kings,",male
"A cutpurse of the empire and the rule,",male
That from a shelf the precious diadem stole,male
And put it in his pocket!,male
A king of shreds and patches!—,male
Enter Ghost.,male
"Save me and hover o’er me with your wings,",male
You heavenly guards! What would your gracious figure?,male
"Do you not come your tardy son to chide,",male
"That, laps’d in time and passion, lets go by",male
The important acting of your dread command?,male
O say!,male
"How is it with you, lady?",male
"On him, on him! Look you how pale he glares,",male
"His form and cause conjoin’d, preaching to stones,",male
"Would make them capable.—Do not look upon me,",male
Lest with this piteous action you convert,male
My stern effects. Then what I have to do,male
Will want true colour; tears perchance for blood.,male
Do you see nothing there?,male
Nor did you nothing hear?,male
"Why, look you there! look how it steals away!",male
"My father, in his habit as he liv’d!",male
Look where he goes even now out at the portal.,male
,male
Ecstasy!,male
"My pulse as yours doth temperately keep time,",male
And makes as healthful music. It is not madness,male
"That I have utter’d. Bring me to the test,",male
And I the matter will re-word; which madness,male
"Would gambol from. Mother, for love of grace,",male
Lay not that flattering unction to your soul,male
"That not your trespass, but my madness speaks.",male
"It will but skin and film the ulcerous place,",male
"Whilst rank corruption, mining all within,",male
"Infects unseen. Confess yourself to heaven,",male
"Repent what’s past, avoid what is to come;",male
"And do not spread the compost on the weeds,",male
To make them ranker. Forgive me this my virtue;,male
For in the fatness of these pursy times,male
"Virtue itself of vice must pardon beg,",male
"Yea, curb and woo for leave to do him good.",male
"O throw away the worser part of it,",male
And live the purer with the other half.,male
Good night. But go not to mine uncle’s bed.,male
"Assume a virtue, if you have it not.",male
"That monster custom, who all sense doth eat,",male
"Of habits evil, is angel yet in this,",male
That to the use of actions fair and good,male
He likewise gives a frock or livery,male
"That aptly is put on. Refrain tonight,",male
And that shall lend a kind of easiness,male
To the next abstinence. The next more easy;,male
"For use almost can change the stamp of nature,",male
"And either curb the devil, or throw him out",male
"With wondrous potency. Once more, good night,",male
"And when you are desirous to be bles’d,",male
I’ll blessing beg of you. For this same lord,male
,male
"I do repent; but heaven hath pleas’d it so,",male
"To punish me with this, and this with me,",male
That I must be their scourge and minister.,male
"I will bestow him, and will answer well",male
"The death I gave him. So again, good night.",male
"I must be cruel, only to be kind:",male
"Thus bad begins, and worse remains behind.",male
"One word more, good lady.",male
"Not this, by no means, that I bid you do:",male
"Let the bloat King tempt you again to bed,",male
"Pinch wanton on your cheek, call you his mouse,",male
"And let him, for a pair of reechy kisses,",male
"Or paddling in your neck with his damn’d fingers,",male
"Make you to ravel all this matter out,",male
"That I essentially am not in madness,",male
"But mad in craft. ’Twere good you let him know,",male
"For who that’s but a queen, fair, sober, wise,",male
"Would from a paddock, from a bat, a gib,",male
Such dear concernings hide? Who would do so?,male
"No, in despite of sense and secrecy,",male
"Unpeg the basket on the house’s top,",male
"Let the birds fly, and like the famous ape,",male
"To try conclusions, in the basket creep",male
And break your own neck down.,male
"I must to England, you know that?",male
"There’s letters seal’d: and my two schoolfellows,",male
"Whom I will trust as I will adders fang’d,—",male
"They bear the mandate, they must sweep my way",male
And marshal me to knavery. Let it work;,male
For ’tis the sport to have the enginer,male
"Hoist with his own petard, and ’t shall go hard",male
But I will delve one yard below their mines,male
"And blow them at the moon. O, ’tis most sweet,",male
When in one line two crafts directly meet.,male
This man shall set me packing.,male
I’ll lug the guts into the neighbour room.,male
"Mother, good night. Indeed, this counsellor",male
"Is now most still, most secret, and most grave,",male
Who was in life a foolish prating knave.,male
"Come, sir, to draw toward an end with you.",male
"Good night, mother.",male
,male
"Enter King, Queen, Rosencrantz and Guildenstern.",male
There’s matter in these sighs. These profound heaves,male
You must translate; ’tis fit we understand them.,male
Where is your son?,male
"What, Gertrude? How does Hamlet?",male
O heavy deed!,male
"It had been so with us, had we been there.",male
His liberty is full of threats to all;,male
"To you yourself, to us, to everyone.",male
"Alas, how shall this bloody deed be answer’d?",male
"It will be laid to us, whose providence",male
"Should have kept short, restrain’d, and out of haunt",male
This mad young man. But so much was our love,male
"We would not understand what was most fit,",male
"But like the owner of a foul disease,",male
"To keep it from divulging, let it feed",male
Even on the pith of life. Where is he gone?,male
"O Gertrude, come away!",male
The sun no sooner shall the mountains touch,male
"But we will ship him hence, and this vile deed",male
We must with all our majesty and skill,male
"Both countenance and excuse.—Ho, Guildenstern!",male
Re-enter Rosencrantz and Guildenstern.,male
"Friends both, go join you with some further aid:",male
"Hamlet in madness hath Polonius slain,",male
And from his mother’s closet hath he dragg’d him.,male
"Go seek him out, speak fair, and bring the body",male
Into the chapel. I pray you haste in this.,male
,male
"Come, Gertrude, we’ll call up our wisest friends,",male
And let them know both what we mean to do,male
"And what’s untimely done, so haply slander,",male
"Whose whisper o’er the world’s diameter,",male
"As level as the cannon to his blank,",male
"Transports his poison’d shot, may miss our name,",male
"And hit the woundless air. O, come away!",male
My soul is full of discord and dismay.,male
,male
Enter Hamlet.,male
Safely stowed.,male
ROSENCRANTZ and GUILDENSTERN.,male
 Hamlet! Lord Hamlet!,male
"What noise? Who calls on Hamlet? O, here they come.",male
Enter Rosencrantz and Guildenstern.,male
"Compounded it with dust, whereto ’tis kin.",male
Do not believe it.,male
"That I can keep your counsel, and not mine own. Besides, to be demanded",male
of a sponge—what replication should be made by the son of a king?,male
"Ay, sir; that soaks up the King’s countenance, his rewards, his",male
authorities. But such officers do the King best service in the end: he,male
"keeps them, like an ape, in the corner of his jaw; first mouthed, to be",male
"last swallowed: when he needs what you have gleaned, it is but",male
"squeezing you, and, sponge, you shall be dry again.",male
I am glad of it. A knavish speech sleeps in a foolish ear.,male
"The body is with the King, but the King is not with the body. The King",male
is a thing—,male
"Of nothing. Bring me to him. Hide fox, and all after.",male
,male
"Enter King, attended.",male
I have sent to seek him and to find the body.,male
How dangerous is it that this man goes loose!,male
Yet must not we put the strong law on him:,male
"He’s lov’d of the distracted multitude,",male
"Who like not in their judgement, but their eyes;",male
"And where ’tis so, th’offender’s scourge is weigh’d,",male
"But never the offence. To bear all smooth and even,",male
This sudden sending him away must seem,male
Deliberate pause. Diseases desperate grown,male
"By desperate appliance are reliev’d,",male
Or not at all.,male
Enter Rosencrantz.,male
How now? What hath befall’n?,male
But where is he?,male
Bring him before us.,male
"Now, Hamlet, where’s Polonius?",male
At supper.,male
At supper? Where?,male
"Not where he eats, but where he is eaten. A certain convocation of",male
politic worms are e’en at him. Your worm is your only emperor for diet.,male
"We fat all creatures else to fat us, and we fat ourselves for maggots.",male
"Your fat king and your lean beggar is but variable service,—two dishes,",male
but to one table. That’s the end.,male
"Alas, alas!",male
"A man may fish with the worm that hath eat of a king, and eat of the",male
fish that hath fed of that worm.,male
What dost thou mean by this?,male
Nothing but to show you how a king may go a progress through the guts,male
of a beggar.,male
Where is Polonius?,male
"In heaven. Send thither to see. If your messenger find him not there,",male
"seek him i’ th’other place yourself. But indeed, if you find him not",male
"within this month, you shall nose him as you go up the stairs into the",male
lobby.,male
 Go seek him there.,male
He will stay till you come.,male
,male
"Hamlet, this deed, for thine especial safety,—",male
"Which we do tender, as we dearly grieve",male
"For that which thou hast done,—must send thee hence",male
With fiery quickness. Therefore prepare thyself;,male
"The bark is ready, and the wind at help,",male
"Th’associates tend, and everything is bent",male
For England.,male
For England?,male
"Ay, Hamlet.",male
Good.,male
"So is it, if thou knew’st our purposes.",male
"I see a cherub that sees them. But, come; for England! Farewell, dear",male
mother.,male
"Thy loving father, Hamlet.",male
My mother. Father and mother is man and wife; man and wife is one,male
"flesh; and so, my mother. Come, for England.",male
,male
Follow him at foot. Tempt him with speed aboard;,male
Delay it not; I’ll have him hence tonight.,male
"Away, for everything is seal’d and done",male
That else leans on th’affair. Pray you make haste.,male
,male
"And England, if my love thou hold’st at aught,—",male
"As my great power thereof may give thee sense,",male
Since yet thy cicatrice looks raw and red,male
"After the Danish sword, and thy free awe",male
"Pays homage to us,—thou mayst not coldly set",male
"Our sovereign process, which imports at full,",male
"By letters conjuring to that effect,",male
"The present death of Hamlet. Do it, England;",male
"For like the hectic in my blood he rages,",male
"And thou must cure me. Till I know ’tis done,",male
"Howe’er my haps, my joys were ne’er begun.",male
,male
Enter Fortinbras and Forces marching.,male
"Good sir, whose powers are these?",male
"How purpos’d, sir, I pray you?",male
"Who commands them, sir?",male
"Goes it against the main of Poland, sir,",male
Or for some frontier?,male
"Why, then the Polack never will defend it.",male
